StudyHours,AttendancePercent,PreviousScore,SleepHours,AssignmentsCompleted,InternetAccess,ParentalEducationLevel,FamilyIncomeLevel,ExtracurricularParticipation,ScreenTimeHours,MotivationLevel,TeacherSupportRating,PeerStudyHours,HealthRating,FinalScore
3.745401188,75.95408926,77.08920959,6.996496435,0,1,1,1,0,5.730227322,5,3,0.192144593,1,83.71527914
9.507143064,73.95909388,85.7676978,6.568539276,0,1,2,3,1,7.721766276,1,2,2.169107302,2,104.1707424
7.319939418,51.28210329,47.53275292,5.44092263,2,1,1,2,0,2.775686214,3,2,3.367449058,4,89.47453798
5.986584842,67.06239138,73.74118697,4.032321789,4,0,4,5,0,7.12483941,5,1,2.109910831,5,102.634569
1.560186404,69.00978094,70.02221882,6.48119611,2,1,3,4,0,7.468544637,3,5,4.362048384,3,78.66806275
1.559945203,69.94113904,88.29812638,5.428129943,8,1,3,4,0,5.692908603,5,5,1.662814762,2,104.5885028
0.580836122,79.00861846,93.42609423,7.673041504,8,0,5,2,1,7.518866392,2,4,0.663410233,1,90.46106216
8.661761458,76.68012734,30.850974,4.119731326,2,1,2,2,1,3.785150112,5,4,4.057793454,2,106.997628
6.011150117,80.39525464,77.18139433,6.924139057,2,1,2,2,0,7.671113232,4,5,3.369739592,4,108.8629313
7.080725778,88.24416308,33.62850594,8.707371188,4,1,5,3,1,5.91948014,1,5,1.209097412,2,90.94116549
0.205844943,90.64928694,68.42010656,4.872046336,1,0,1,2,0,1.294040372,5,1,2.68225628,4,83.30819036
9.699098522,85.90615381,50.13429103,6.358247454,5,0,3,1,0,7.348109823,3,1,2.009261693,3,98.53849917
8.324426408,97.7761848,51.47436197,4.457109959,6,0,3,5,0,4.391309663,3,5,4.694298882,3,121.4214096
2.123391107,50.91162913,54.70709524,7.128409561,8,1,2,2,1,4.222288893,5,3,3.036660455,4,85.0452087
1.818249672,59.78889928,73.49047143,6.752658403,5,0,2,3,1,4.965266242,4,3,0.791946306,5,81.01393098
1.834045099,50.37814375,53.3834976,6.036827621,2,1,5,5,1,2.045691827,5,1,2.510742263,3,67.24645001
3.04242243,82.37373571,81.28893354,6.606885107,4,1,4,4,1,4.28416234,2,2,4.312784163,5,82.17023749
5.247564316,94.90152745,58.31691699,8.482873292,3,1,1,2,1,6.817890517,4,5,3.35748335,4,99.95664781
4.319450186,62.17411483,34.78472402,4.981471512,4,0,4,5,1,1.108377214,5,4,4.21226038,4,93.90022341
2.912291402,96.35172724,84.86318897,4.112822559,7,0,4,4,0,2.910420122,1,3,1.251996569,3,96.34635925
6.118528947,53.01336951,50.00308272,8.308324423,7,1,2,3,1,1.017182105,4,2,4.441756885,5,102.0972589
1.394938607,96.72180134,60.29368157,6.885585412,5,1,2,1,0,3.909979164,5,3,3.778056659,4,100.4935687
2.921446485,67.58113436,77.98107183,8.453292277,0,0,2,2,0,6.098208573,1,2,3.644568777,3,68.45915504
3.663618433,55.07104142,53.271931,6.984726117,7,0,4,1,1,6.591402804,5,5,1.732705349,4,87.07322055
